location,hour,minute,flow,speed
0031,17,32,3210,80
0031,17,34,3280,81
0031,17,36,3170,80
0031,17,38,3290,80
0031,17,40,3220,82
0031,17,42,3090,81
0031,17,44,2910,80
0031,17,46,3170,80
0031,17,48,3140,78
0031,17,50,3590,80
0031,17,52,3330,80
0031,17,54,3230,79
0031,17,56,3130,80
0031,17,58,3030,81
0031,18,0,2950,80
0031,18,2,2800,82
0031,18,4,3110,80
0031,18,6,3010,81
0031,18,8,2970,80
0031,18,10,3010,82
0031,18,12,3200,81
0031,18,14,3360,80
0031,18,16,2870,81
0031,18,18,3110,81
0031,18,20,3090,79
0031,18,22,3060,81
0031,18,24,2710,82
0031,18,26,2600,80
0031,18,28,2690,82
0034,15,30,2160,76
0034,15,32,2450,76
0034,15,34,2310,77
0034,15,36,2480,77
0034,15,38,2540,77
0034,15,40,2550,76
0034,15,42,2410,77
0034,15,44,2610,76
0034,15,46,2770,77
0034,15,48,2520,77
0034,15,50,2860,76
0034,15,52,2770,77
0034,15,54,2470,76
0034,15,56,2640,77
0034,15,58,2650,77
0034,16,0,2580,77
0034,16,2,2480,77
0034,16,4,2570,76
0034,16,6,2590,77
0034,16,8,2520,77
0034,16,10,2320,77
0034,16,12,2530,76
0034,16,14,2570,76
0034,16,16,2500,77
0034,16,18,2640,77
0034,16,20,2510,77
0034,16,22,2580,76
0034,16,24,2650,76
0034,16,26,2620,77
0034,16,28,2550,77
0034,16,30,2630,77
0034,16,32,2680,76
0034,16,34,2600,77
0034,16,36,2970,76
0034,16,38,2740,77
0034,16,40,2930,76
0034,16,42,2480,76
0034,16,44,2830,77
0034,16,46,2870,76
0034,16,48,3220,77
0034,16,50,2800,76
0034,16,52,3190,76
0034,16,54,2900,77
0034,16,56,2720,76
0034,16,58,2960,76
0034,17,0,3200,76
0034,17,2,2820,77
0034,17,4,2700,77
0034,17,6,2920,77
0034,17,8,3020,76
0034,17,10,3430,76
0034,17,12,3370,76
0034,17,14,3330,76
0034,17,16,3300,77
0034,17,18,3180,76
0034,17,20,3290,76
0034,17,22,3300,75
0034,17,24,2980,76
0034,17,26,3150,75
0034,17,28,3240,76
0034,17,30,3230,76
0034,17,32,3290,75
0034,17,34,3430,75
0034,17,36,3270,75
0034,17,38,3350,75
0034,17,40,3280,75
0034,17,42,2980,76
0034,17,44,3150,75
0034,17,46,2820,75
0034,17,48,3120,75
0034,17,50,3550,75
0034,17,52,3320,75
0034,17,54,3220,75
0034,17,56,3220,75
0034,17,58,3130,75
0034,18,0,2820,76
0034,18,2,2990,76
0034,18,4,3100,75
0034,18,6,3070,75
0034,18,8,3040,75
0034,18,10,2990,75
0034,18,12,3040,76
0034,18,14,3490,75
0034,18,16,2940,75
0034,18,18,3150,76
0034,18,20,3200,76
0034,18,22,3200,76
0034,18,24,2550,76
0034,18,26,2820,75
0034,18,28,2850,76
0036,15,30,3120,75
0036,15,32,3840,75
0036,15,34,3230,76
0036,15,36,3410,76
0036,15,38,3760,76
0036,15,40,3370,76
0036,15,42,3390,77
0036,15,44,3810,76
0036,15,46,3680,77
0036,15,48,3380,76
0036,15,50,3780,76
0036,15,52,3530,77
0036,15,54,3260,76
0036,15,56,3290,76
0036,15,58,3590,77
0036,16,0,3290,76
0036,16,2,3360,77
0036,16,4,3550,76
0036,16,6,3130,77
0036,16,8,3640,77
